"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Newman","MRSA252","HO_5096_0412","S0385"
"Cluster_798","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00007_+_+_Newman_00008_+_+_DP","MRSA252_+_+_MRSA252_00007_+_+_MRSA252_00008_+_+_DP","HO_5096_0412_+_+_HO_5096_0412_00007_+_+_HO_5096_0412_00008_+_+_DP","S0385_+_+_S0385_00007_+_+_S0385_00008_+_+_DP"
"Cluster_486","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02039_+_+_Newman_02040_+_+_CO_F","MRSA252_+_+_MRSA252_02047_+_+_MRSA252_02048_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01955_+_+_HO_5096_0412_01956_+_+_CO_F","S0385_+_+_S0385_02059_+_+_S0385_02060_+_+_CO_F"
"Cluster_401","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02249_+_+_Newman_02250_+_+_CO_R","MRSA252_+_+_MRSA252_02258_+_+_MRSA252_02259_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02178_+_+_HO_5096_0412_02179_+_+_CO_R","S0385_+_+_S0385_02229_+_+_S0385_02230_+_+_CO_R"
"Cluster_931","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01181_+_+_Newman_01182_+_+_CO_F","MRSA252_+_+_MRSA252_01151_+_+_MRSA252_01152_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_01064_+_+_HO_5096_0412_01065_+_+_CO_F","S0385_+_+_S0385_01203_+_+_S0385_01204_+_+_CO_F"
"Cluster_394","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01641_+_+_Newman_01643_+_+_CO_R","MRSA252_+_+_MRSA252_01704_+_+_MRSA252_01706_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01623_+_+_HO_5096_0412_01625_+_+_CO_R","S0385_+_+_S0385_01726_+_+_S0385_01728_+_+_CO_R"
"Cluster_988","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00018_+_+_Newman_00019_+_+_CO_F","MRSA252_+_+_MRSA252_00018_+_+_MRSA252_00019_+_+_CO_F","HO_5096_0412_+_+_HO_5096_0412_00018_+_+_HO_5096_0412_00019_+_+_CO_F","S0385_+_+_S0385_00019_+_+_S0385_00020_+_+_CO_F"
"Cluster_680","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00165_+_+_Newman_00166_+_+_DT","MRSA252_+_+_MRSA252_00213_+_+_MRSA252_00214_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00190_+_+_HO_5096_0412_00191_+_+_DT","S0385_+_+_S0385_00236_+_+_S0385_00237_+_+_DT"
"Cluster_2483","","","4","4","1","","","","","","","","","Newman_+_+_Newman_01854_+_+_Newman_01855_+_+_CO_R","MRSA252_+_+_MRSA252_01929_+_+_MRSA252_01930_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_01831_+_+_HO_5096_0412_01832_+_+_CO_R","S0385_+_+_S0385_01940_+_+_S0385_01941_+_+_CO_R"
"Cluster_390","","","4","4","1","","","","","","","","","Newman_+_+_Newman_02282_+_+_Newman_02283_+_+_CO_R","MRSA252_+_+_MRSA252_02292_+_+_MRSA252_02293_+_+_CO_R","HO_5096_0412_+_+_HO_5096_0412_02208_+_+_HO_5096_0412_02209_+_+_CO_R","S0385_+_+_S0385_02273_+_+_S0385_02274_+_+_CO_R"
"Cluster_821","","","4","4","1","","","","","","","","","Newman_+_+_Newman_00184_+_+_Newman_00185_+_+_DT","MRSA252_+_+_MRSA252_00233_+_+_MRSA252_00234_+_+_DT","HO_5096_0412_+_+_HO_5096_0412_00210_+_+_HO_5096_0412_00211_+_+_DT","S0385_+_+_S0385_00256_+_+_S0385_00257_+_+_DT"
