Gene,Id_1,Id_2,SNPs,Sites,Length,Nuc_identity,Length_identity
Cluster_1233_aligned,MRSA252_+_+_MRSA252_02314_+_+_MRSA252_02315_+_+_CO_R,S0385_+_+_S0385_02294_+_+_S0385_02295_+_+_CO_R,3,234,234,0.971406037929643,0.997150997150997
Cluster_1289_aligned,HO_5096_0412_+_+_HO_5096_0412_02486_+_+_HO_5096_0412_02487_+_+_CO_R,S0385_+_+_S0385_02550_+_+_S0385_02551_+_+_CO_R,4,225,225,0.988148148148148,1
Cluster_1486_aligned,HO_5096_0412_+_+_HO_5096_0412_01310_+_+_HO_5096_0412_01311_+_+_CO_R,Newman_+_+_Newman_01397_+_+_Newman_01398_+_+_CO_R,1,190,190,0.992105263157895,1
Cluster_959_aligned,Newman_+_+_Newman_00418_+_+_Newman_00419_+_+_CO_F,S0385_+_+_S0385_00492_+_+_S0385_00493_+_+_CO_F,20,283,285,0.938688820389444,0.991812865497076
Cluster_135_aligned,S0385_+_+_S0385_01861_+_+_S0385_01862_+_+_DP,MRSA252_+_+_MRSA252_01853_+_+_MRSA252_01854_+_+_DP,2,642,650,0.996884735202492,0.987692307692308
Cluster_2644_aligned,HO_5096_0412_+_+_HO_5096_0412_01450_+_+_HO_5096_0412_01451_+_+_CO_R,S0385_+_+_S0385_01557_+_+_S0385_01558_+_+_CO_R,0,36,36,0.993827160493827,0.996913580246913
Cluster_186_aligned,MRSA252_+_+_MRSA252_01416_+_+_MRSA252_01417_+_+_CO_R,S0385_+_+_S0385_01441_+_+_S0385_01442_+_+_CO_R,17,579,589,0.964306275187104,0.9830220713073
Cluster_1567_aligned,HO_5096_0412_+_+_HO_5096_0412_01844_+_+_HO_5096_0412_01845_+_+_CO_R,S0385_+_+_S0385_01954_+_+_S0385_01955_+_+_CO_R,3,178,178,0.98876404494382,1
Cluster_1610_aligned,Newman_+_+_Newman_02397_+_+_Newman_02398_+_+_DT,MRSA252_+_+_MRSA252_02403_+_+_MRSA252_02404_+_+_DT,4,170,171,0.976470588235294,0.994152046783626
Cluster_1236_aligned,HO_5096_0412_+_+_HO_5096_0412_00243_+_+_HO_5096_0412_00244_+_+_DP,S0385_+_+_S0385_00289_+_+_S0385_00290_+_+_DP,3,233,233,0.991416309012875,1
Cluster_2293_aligned,HO_5096_0412_+_+_HO_5096_0412_01006_+_+_HO_5096_0412_01007_+_+_CO_F,S0385_+_+_S0385_01148_+_+_S0385_01149_+_+_CO_F,0,79,79,1,1
Cluster_1679_aligned,HO_5096_0412_+_+_HO_5096_0412_00573_+_+_HO_5096_0412_00574_+_+_CO_F,S0385_+_+_S0385_00711_+_+_S0385_00712_+_+_CO_F,0,161,161,0.997929606625259,1
Cluster_2503_aligned,HO_5096_0412_+_+_HO_5096_0412_01295_+_+_HO_5096_0412_01296_+_+_CO_F,S0385_+_+_S0385_02075_+_+_S0385_02076_+_+_CO_R_+_+_R,1,55,55,0.993939393939394,1
Cluster_675_aligned,HO_5096_0412_+_+_HO_5096_0412_00624_+_+_HO_5096_0412_00625_+_+_DP,S0385_+_+_S0385_00762_+_+_S0385_00763_+_+_DP,3,360,360,0.988888888888889,1
Cluster_1381_aligned,HO_5096_0412_+_+_HO_5096_0412_01673_+_+_HO_5096_0412_01674_+_+_CO_R,S0385_+_+_S0385_01776_+_+_S0385_01777_+_+_CO_R,6,209,209,0.974481658692185,1
